work_id,context_clarity,physics_model_clarity,data_transparency,baseline_comparison,quantitative_evaluation,validation_beyond_training,robustness_or_uncertainty,reproducibility_signal,notes
W00020,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,"Diffusion PDE. MSE and gamma analysis provided. Compared to numerical evolution."
W00021,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,"Diffusion models (NODDI/Kurtosis). Generalizability across subjects mentioned."
W00022,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,"1D Navier-Stokes. Validated on one healthy patient. Mean arterial pressure reported."
W00023,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,"Tracer-kinetics. Glioma patients. Correlations and SSIM reported. Regularization used."
W00024,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,"T2 relaxation physics. Mouse embryo data. Retrospective and prospective evaluation."
W00025,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,"Spherical harmonics B0 model. Simulated knee data. PSNR/RMSE reported."
W00026,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,"28 patients. Compared to NLLS. Test-retest repeatability evaluated."
W00027,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,"Hyperelastic biomechanics. Data scarcity robustness mentioned."
W00028,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,"Infant ASL. Relative error reported. Spatial uncertainty modeled. Code link provided."
W00029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,"Fluid physics. 1765 patients. External test set used. Robustness to dilation tested."
W00030,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,"Physics-informed regularization. Large dataset (216+). Stability on different dataset tested."
W00031,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,"Advection-diffusion. Validated on rat MRI datasets."
W00032,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,"Physics-informed pressure processing. Patient-specific in-silico and volunteers."
W00033,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,"Physics-informed ad-hoc reconstruction. n=33 test set. SSIM reported."
W00034,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,"EPG model. 232 subjects. SSIM > 0.92. Constrained loss weighting analysis."
W00036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"IVIM model. 23 patients. Compared to Bayesian/LS. Independence/consistency tested."
W00037,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,"ASL model. Reproducibility and noise immunity assessed. P-values reported."
W00038,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,"Heat diffusion. Out-of-distribution generalization tested. Code available."
W00040,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,"Uses 'Physics' in architecture name (FBPINN) but strictly for classification. ADNI data."
W00041,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"Bloch/bSSFP. Robustness to training distribution. Monte Carlo sampling."
W00042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,"3-compartment model. 21 patients. ICC 0.94. Robustness to noise. Supplemental material."
W00043,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,"Elasticity/Growth. Zebrafish and brain MRI. Comparison implied."
W00044,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,"K-space consistency. IXI/MR-ART datasets. PSNR reported. Robustness to motion levels."
W00045,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"Tri-exponential IVIM. 33 patients. SNR and R2 metrics."
W00046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Extended Tofts. 87 patients. AUC 0.926. Robust to low SNR."
W00047,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,"PINN component mentioned. Robustness of CSM estimation."
W00049,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,"Synthetic physics data. Multi-center/vendor generalization."
W00052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,"Navier-Cauchy. IXI/LPBA-40. DSC improvement. Hyperparameter sweep. Code promised."
W00053,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.0,"Acquisition physics. Robustness to field inhomogeneities."
W00054,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,"Joint estimation physics. 40 sim + 10 in vivo. Robustness to distribution shifts."
W00085,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,"Navier-Stokes. Synthetic data. Relative error reported. Noise robustness."
W00086,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,"Mechanical equations. Patient-specific CT/MRI. Accuracy 94.3%."
W00087,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,"MRI physics/k-space. fastMRI dataset. Domain shift robustness."
W00109,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,"1D flow conservation. Phantom (juice). Robustness to missing data."
W00110,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,"Maxwell/Diffusion. Phantoms. Compared to numerical methods. Noise robustness."
