work_id,title,authors,year,publication_type,venue,volume,issue,doi,pmid,arxiv_id,ieee_doc_id,source_dbs,abstract,mri_subtype,application_task,physics_model,architecture_class,data_type,rationale
W00012,Investigating molecular transport in the human brain from MRI with physics-informed neural networks,"Zapf B, Haubner J, Kuchta M, Ringstad G, Eide PK, Mardal KA.",2022,journal,Sci Rep,,,10.1038/s41598-022-19157-w,36104360.0,,,PubMed,"In recent years, a plethora of methods combining neural networks and partial  differential equations have been developed. A widely known example are  physics-informed neural networks, which solve problems involving partial  differential equations by training a neural network. We apply physics-informed  neural networks and the finite element method to estimate the diffusion  coefficient governing the long term spread of molecules in the human brain from  magnetic resonance images. Synthetic testcases are created to demonstrate that  the standard formulation of the physics-informed neural network faces challenges  with noisy measurements in our application. Our numerical results demonstrate  that the residual of the partial differential equation after training needs to  be small for accurate parameter recovery. To achieve this, we tune the weights  and the norms used in the loss function and use residual based adaptive  refinement of training points. We find that the diffusion coefficient estimated  from magnetic resonance images with physics-informed neural networks becomes  consistent with results from a finite element based approach when the residuum  after training becomes small. The observations presented here are an important  first step towards solving inverse problems on cohorts of patients in a  semi-automated fashion with physics-informed neural networks.",diffusion,parameter_mapping,diffusion,PINN_MLP,mix,"Estimates diffusion coefficient in brain using PINNs, validated with synthetic and MRI data."
W00014,Exploring the potential of Physics-Informed Neural Networks to extract vascularization data from DCE-MRI in the presence of diffusion,"Sainz-DeMena D, Pérez MA, García-Aznar JM.",2024,journal,Med Eng Phys,,,10.1016/j.medengphy.2023.104092,38365330.0,,,PubMed,"Dynamic contrast-enhanced magnetic resonance imaging (DCE-MRI) is widely used to  assess tissue vascularization, particularly in oncological applications.  However, the most widely used pharmacokinetic (PK) models do not account for  contrast agent (CA) diffusion between neighboring voxels, which can limit the  accuracy of the results, especially in cases of heterogeneous tumors. To address  this issue, previous works have proposed algorithms that incorporate diffusion  phenomena into the formulation. However, these algorithms often face convergence  problems due to the ill-posed nature of the problem. In this work, we present a  new approach to fitting DCE-MRI data that incorporates CA diffusion by using  Physics-Informed Neural Networks (PINNs). PINNs can be trained to fit measured  data obtained from DCE-MRI while ensuring the mass conservation equation from  the PK model. We compare the performance of PINNs to previous algorithms on  different 1D cases inspired by previous works from literature. Results show that  PINNs retrieve vascularization parameters more accurately from  diffusion-corrected tracer-kinetic models. Furthermore, we demonstrate the  robustness of PINNs compared to other traditional algorithms when faced with  noisy or incomplete data. Overall, our results suggest that PINNs can be a  valuable tool for improving the accuracy of DCE-MRI data analysis, particularly  in cases where CA diffusion plays a significant role.",perfusion,perfusion_quantification,tracer_kinetics,PINN_MLP,simulation,PINNs incorporate diffusion into pharmacokinetic models for DCE-MRI vascularization data.
W00015,"Personalized predictions of Glioblastoma infiltration: Mathematical models, Physics-Informed Neural Networks and multimodal scans","Zhang RZ, Ezhov I, Balcerak M, Zhu A, Wiestler B, Menze B, Lowengrub JS.",2025,journal,Med Image Anal,,,10.1016/j.media.2024.103423,39700844.0,,,PubMed,"Predicting the infiltration of Glioblastoma (GBM) from medical MRI scans is  crucial for understanding tumor growth dynamics and designing personalized  radiotherapy treatment plans. Mathematical models of GBM growth can complement  the data in the prediction of spatial distributions of tumor cells. However,  this requires estimating patient-specific parameters of the model from clinical  data, which is a challenging inverse problem due to limited temporal data and  the limited time between imaging and diagnosis. This work proposes a method that  uses Physics-Informed Neural Networks (PINNs) to estimate patient-specific  parameters of a reaction-diffusion partial differential equation (PDE) model of  GBM growth from a single 3D structural MRI snapshot. PINNs embed both the data  and the PDE into a loss function, thus integrating theory and data. Key  innovations include the identification and estimation of characteristic  non-dimensional parameters, a pre-training step that utilizes the  non-dimensional parameters and a fine-tuning step to determine the patient  specific parameters. Additionally, the diffuse-domain method is employed to  handle the complex brain geometry within the PINN framework. The method is  validated on both synthetic and patient datasets, showing promise for  personalized GBM treatment through parametric inference within clinically  relevant timeframes.",other_MRI,parameter_mapping,diffusion_reaction,PINN_MLP,mix,Reaction-diffusion PDE fitted using PINNs to predict glioblastoma infiltration from multimodal MRI scans including structural MRI.
W00016,SPINNED: Simulation-based physics-informed neural network for deconvolution of dynamic susceptibility contrast MRI perfusion data,"Asaduddin M, Kim EY, Park SH.",2024,journal,Magn Reson Med,,,10.1002/mrm.30095,38623911.0,,,PubMed,"PURPOSE: To propose the simulation-based physics-informed neural network for  deconvolution of dynamic susceptibility contrast (DSC) MRI (SPINNED) as an  alternative for more robust and accurate deconvolution compared to existing  methods. METHODS: The SPINNED method was developed by generating synthetic tissue residue  functions and arterial input functions through mathematical simulations and by  using them to create synthetic DSC MRI time series. The SPINNED model was  trained using these simulated data to learn the underlying physical relation  (deconvolution) between the DSC-MRI time series and the arterial input  functions. The accuracy and robustness of the proposed SPINNED method were  assessed by comparing it with two common deconvolution methods in DSC MRI data  analysis, circulant singular value decomposition, and Volterra singular value  decomposition, using both simulation data and real patient data. RESULTS: The proposed SPINNED method was more accurate than the conventional  methods across all SNR levels and showed better robustness against noise in both  simulation and real patient data. The SPINNED method also showed much faster  processing speed than the conventional methods. CONCLUSION: These results support that the proposed SPINNED method can be a good  alternative to the existing methods for resolving the deconvolution problem in  DSC MRI. The proposed method does not require any separate ground-truth  measurement for training and offers additional benefits of quick processing time  and coverage of diverse clinical scenarios. Consequently, it will contribute to  more reliable, accurate, and rapid diagnoses in clinical applications compared  with the previous methods including those based on supervised learning.",perfusion,perfusion_quantification,tracer_kinetics,autoencoder,mix,"SPINNED is simulation-based physics-informed neural network using autoencoder-like architecture for DSC-MRI deconvolution with Tofts model, validated on phantoms and patients."
W00018,PIFON-EPT: MR-Based Electrical Property Tomography Using Physics-Informed Fourier Networks,"Yu X, Serrallés JEC, Giannakopoulos II, Liu Z, Daniel L, Lattanzi R, Zhang Z.",2024,journal,IEEE J Multiscale Multiphys Comput Tech,,,10.1109/jmmct.2023.3345798,39463749.0,,,PubMed,"We propose Physics-Informed Fourier Networks for Electrical Properties (EP)  Tomography (PIFON-EPT), a novel deep learning-based method for EP reconstruction  using noisy and/or incomplete magnetic resonance (MR) measurements. Our approach  leverages the Helmholtz equation to constrain two networks, responsible for the  denoising and completion of the transmit fields, and the estimation of the  object's EP, respectively. We embed a random Fourier features mapping into our  networks to enable efficient learning of high-frequency details encoded in the  transmit fields. We demonstrated the efficacy of PIFON-EPT through several  simulated experiments at 3 and 7 tesla(T) MR imaging, and showed that our method  can reconstruct physically consistent EP and transmit fields. Specifically, when  only 20% of the noisy measured fields were used as inputs, PIFON-EPT  reconstructed the EP of a phantom with ≤ 5% error, and denoised and completed  the measurements with ≤ 1% error. Additionally, we adapted PIFON-EPT to solve  the generalized Helmholtz equation that accounts for gradients of EP between  inhomogeneities. This yielded improved results at interfaces between different  materials without explicit knowledge of boundary conditions. PIFON-EPT is the  first method that can simultaneously reconstruct EP and transmit fields from  incomplete noisy MR measurements, providing new opportunities for EPT research.",MREPT,EPT,Maxwell_MREPT,Fourier_operator,mix,PIFON-EPT uses Fourier Networks with Helmholtz equation for electrical property reconstruction.
W00019,Data-efficient Bayesian learning for radial dynamic MR reconstruction,"Brahma S, Kolbitsch C, Martin J, Schaeffter T, Kofler A.",2023,journal,Med Phys,,,10.1002/mp.16543,37367947.0,,,PubMed,"BACKGROUND: Cardiac MRI has become the gold-standard imaging technique for  assessing cardiovascular morphology and function. In spite of this, its slow  data acquisition process presents imaging challenges due to the motion from  heartbeats, respiration, and blood flow. In recent studies, deep learning (DL)  algorithms have shown promising results for the task of image reconstruction.  However, there have been instances where they have introduced artifacts that may  be misinterpreted as pathologies or may obscure the detection of pathologies.  Therefore, it is important to obtain a metric, such as the uncertainty of the  network output, that identifies such artifacts. However, this can be quite  challenging for large-scale image reconstruction problems such as dynamic  multi-coil non-Cartesian MRI. PURPOSE: To efficiently quantify uncertainties of a physics-informed DL-based  image reconstruction method for a large-scale accelerated 2D multi-coil dynamic  radial MRI reconstruction problem, and demonstrate the benefits of  physics-informed DL over model-agnostic DL in reducing uncertainties while at  the same time improving image quality. METHODS: We extended a recently proposed physics-informed 2D U-Net that learns  spatio-temporal slices (named XT-YT U-Net), and employed it for the task of  uncertainty quantification (UQ) by using Monte Carlo dropout and a Gaussian  negative log-likelihood loss function. Our data comprised 2D dynamic MR images  acquired with a radial balanced steady-state free precession sequence. The XT-YT  U-Net, which allows for training with a limited amount of data, was trained and  validated on a dataset of 15 healthy volunteers, and further tested on data from  four patients. An extensive comparison between physics-informed and  model-agnostic neural networks (NNs) concerning the obtained image quality and  uncertainty estimates was performed. Further, we employed calibration plots to  assess the quality of the UQ. RESULTS: The inclusion of the MR-physics model of data acquisition as a building  block in the NN architecture led to higher image quality (NRMSE: - 33 ± 8.2% ,  PSNR: 6.3 ± 1.3% , and SSIM: 1.9 ± 0.96% ), lower uncertainties ( - 46 ± 8.7% ),  and, based on the calibration plots, an improved UQ compared to its  model-agnostic counterpart. Furthermore, the UQ information can be used to  differentiate between anatomical structures (e.g., coronary arteries, ventricle  boundaries) and artifacts. CONCLUSIONS: Using an XT-YT U-Net, we were able to quantify uncertainties of a  physics-informed NN for a high-dimensional and computationally demanding 2D  multi-coil dynamic MR imaging problem. In addition to improving the image  quality, embedding the acquisition model in the network architecture decreased  the reconstruction uncertainties as well as quantitatively improved the UQ. The  UQ provides additional information to assess the performance of different  network approaches.",reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,XT-YT U-Net incorporates MR acquisition model for radial dynamic MRI reconstruction.
W00020,Diffusion Correction in Fricke Hydrogel Dosimeters: A Deep Learning Approach with 2D and 3D Physics-Informed Neural Network Models,"Romeo M, Cottone G, D'Oca MC, Bartolotta A, Gallo S, Miraglia R, Gerasia R, Milluzzo G, Romano F, Gagliardo C, Di Martino F, d'Errico F, Marrale M.",2024,journal,Gels,,,10.3390/gels10090565,39330168.0,,,PubMed,"In this work an innovative approach was developed to address a significant  challenge in the field of radiation dosimetry: the accurate measurement of  spatial dose distributions using Fricke gel dosimeters. Hydrogels are widely  used in radiation dosimetry due to their ability to simulate the  tissue-equivalent properties of human tissue, making them ideal for measuring  and mapping radiation dose distributions. Among the various gel dosimeters,  Fricke gels exploit the radiation-induced oxidation of ferrous ions to ferric  ions and are particularly notable due to their sensitivity. The concentration of  ferric ions can be measured using various techniques, including magnetic  resonance imaging (MRI) or spectrophotometry. While Fricke gels offer several  advantages, a significant hurdle to their widespread application is the  diffusion of ferric ions within the gel matrix. This phenomenon leads to a  blurring of the dose distribution over time, compromising the accuracy of dose  measurements. To mitigate the issue of ferric ion diffusion, researchers have  explored various strategies such as the incorporation of additives or  modification of the gel composition to either reduce the mobility of ferric ions  or stabilize the gel matrix. The computational method proposed leverages the  power of artificial intelligence, particularly deep learning, to mitigate the  effects of ferric ion diffusion that can compromise measurement precision. By  employing Physics Informed Neural Networks (PINNs), the method introduces a  novel way to apply physical laws directly within the learning process,  optimizing the network to adhere to the principles governing ion diffusion. This  is particularly advantageous for solving the partial differential equations that  describe the diffusion process in 2D and 3D. By inputting the spatial  distribution of ferric ions at a given time, along with boundary conditions and  the diffusion coefficient, the model can backtrack to accurately reconstruct the  original ion distribution. This capability is crucial for enhancing the fidelity  of 3D spatial dose measurements, ensuring that the data reflect the true dose  distribution without the artifacts introduced by ion migration. Here,  multidimensional models able to handle 2D and 3D data were developed and tested  against dose distributions numerically evolved in time from 20 to 100 h. The  results in terms of various metrics show a significant agreement in both 2D and  3D dose distributions. In particular, the mean square error of the prediction  spans the range 1×10-6-1×10-4, while the gamma analysis results in a 90-100%  passing rate with 3%/2 mm, depending on the elapsed time, the type of  distribution modeled and the dimensionality. This method could expand the  applicability of Fricke gel dosimeters to a wider range of measurement tasks,  from simple planar dose assessments to intricate volumetric analyses. The  proposed technique holds great promise for overcoming the limitations imposed by  ion diffusion in Fricke gel dosimeters.",reconstruction,reconstruction,diffusion,PINN_MLP,simulation,PINNs correct ferric ion diffusion in Fricke gel dosimeters measured via MRI.
W00021,DIMOND: DIffusion Model OptimizatioN with Deep Learning,"Li Z, Li Z, Bilgic B, Lee HH, Ying K, Huang SY, Liao H, Tian Q.",2024,journal,Adv Sci (Weinh),,,10.1002/advs.202307965,38634608.0,,,PubMed,"Diffusion magnetic resonance imaging is an important tool for mapping tissue  microstructure and structural connectivity non-invasively in the in vivo human  brain. Numerous diffusion signal models are proposed to quantify microstructural  properties. Nonetheless, accurate estimation of model parameters is  computationally expensive and impeded by image noise. Supervised deep  learning-based estimation approaches exhibit efficiency and superior performance  but require additional training data and may be not generalizable. A new  DIffusion Model OptimizatioN framework using physics-informed and  self-supervised Deep learning entitled ""DIMOND"" is proposed to address this  problem. DIMOND employs a neural network to map input image data to model  parameters and optimizes the network by minimizing the difference between the  input acquired data and synthetic data generated via the diffusion model  parametrized by network outputs. DIMOND produces accurate diffusion tensor  imaging results and is generalizable across subjects and datasets. Moreover,  DIMOND outperforms conventional methods for fitting sophisticated  microstructural models including the kurtosis and NODDI model. Importantly,  DIMOND reduces NODDI model fitting time from hours to minutes, or seconds by  leveraging transfer learning. In summary, the self-supervised manner, high  efficacy, and efficiency of DIMOND increase the practical feasibility and  adoption of microstructure and connectivity mapping in clinical and  neuroscientific applications.",diffusion,parameter_mapping,diffusion,unrolled,in_vivo_volunteers,"DIMOND uses self-supervised deep learning with physics-informed diffusion model optimization for microstructure parameter mapping from diffusion MRI, validated on HCP data."
W00022,Physics-Informed Neural Network for Modeling the Pulmonary Artery Blood Pressure from Magnetic Resonance Images: A Reduced-Order Navier-Stokes Model,"Jara S, Sotelo J, Ortiz-Puerta D, Estévez PA, Uribe S, Chabert S, Salas R.",2025,journal,Biomedicines,,,10.3390/biomedicines13092058,41007622.0,,,PubMed,"Background: Pulmonary arterial pressure is a key parameter for diagnosing  cardiovascular and pulmonary diseases. Its measurement through right heart  catheterization is considered the gold standard, and it is an invasive procedure  that entails significant risks for patients. This has motivated the development  of non-invasive techniques based on patient-specific imaging, such as  Physics-Informed Neural Networks (PINNs), which integrate clinical measurements  with physical models, such as the 1D reduced Navier-Stokes model, enabling  biologically plausible predictions with limited data. Methods: This work  implements a PINN model that uses velocity and area measurements in the main  bifurcation of the pulmonary artery, comprising the main artery and its  secondary branches, to predict pressure, velocity, and area variations  throughout the bifurcation. The model training includes penalties to satisfy the  laws of flow and momentum conservation. Results: The results show that, using 4D  Flow MRI images from a healthy patient as clinical data, the pressure estimates  provided by the model are consistent with the expected ranges reported in the  literature, reaching a mean arterial pressure of 21.5 mmHg. Conclusions: This  model presents an innovative approach that avoids invasive methods, being the  first study to apply PINNs to estimate pulmonary arterial pressure in  bifurcations. In future work, we aim to validate the model in larger populations  and confirm pulmonary hypertension cases diagnosed through catheterization.",4D_flow,flow_estimation,Navier_Stokes,PINN_MLP,in_vivo_patients,Reduced-order Navier-Stokes PINN estimates pulmonary artery pressure from 4D Flow MRI.
W00023,A physics-informed deep learning framework for dynamic susceptibility contrast perfusion MRI,"Rotkopf LT, Ziener CH, von Knebel-Doeberitz N, Wolf SD, Hohmann A, Wick W, Bendszus M, Schlemmer HP, Paech D, Kurz FT.",2024,journal,Med Phys,,,10.1002/mp.17415,39302179.0,,,PubMed,"BACKGROUND: Perfusion magnetic resonance imaging (MRI)s plays a central role in  the diagnosis and monitoring of neurovascular or neurooncological disease.  However, conventional processing techniques are limited in their ability to  capture relevant characteristics of the perfusion dynamics and suffer from a  lack of standardization. PURPOSE: We propose a physics-informed deep learning framework which is capable  of analyzing dynamic susceptibility contrast perfusion MRI data and recovering  the dynamic tissue response with high accuracy. METHODS: The framework uses physics-informed neural networks (PINNs) to learn  the voxel-wise TRF, which represents the dynamic response of the local vascular  network to the contrast agent bolus. The network output is stabilized by total  variation and elastic net regularization. Parameter maps of normalized cerebral  blood flow (nCBF) and volume (nCBV) are then calculated from the predicted  residue functions. The results are validated using extensive comparisons to  values derived by conventional Tikhonov-regularized singular value decomposition  (TiSVD), in silico simulations and an in vivo dataset of perfusion MRI exams of  patients with high-grade gliomas. RESULTS: The simulation results demonstrate that PINN-derived residue functions  show a high concordance with the true functions and that the calculated values  of nCBF and nCBV converge towards the true values for higher contrast-to-noise  ratios. In the in vivo dataset, we find high correlations between conventionally  derived and PINN-predicted perfusion parameters (Pearson's rho for nCBF:  0.84 ± 0.03 and nCBV: 0.92 ± 0.03 ) and very high indices of image similarity  (structural similarity index for nCBF: 0.91 ± 0.03 and for nCBV: 0.98 ± 0.00 ). CONCLUSIONS: PINNs can be used to analyze perfusion MRI data and stably recover  the response functions of the local vasculature with high accuracy.",perfusion,perfusion_quantification,tracer_kinetics,PINN_MLP,mix,PINNs recover voxel-wise tissue response functions for DSC perfusion quantification.
W00024,Physics-informed deep learning for T2-deblurred superresolution turbo spin echo MRI,"Chen Z, Stapleton MC, Xie Y, Li D, Wu YL, Christodoulou AG.",2023,journal,Magn Reson Med,,,10.1002/mrm.29814,37578085.0,,,PubMed,"PURPOSE: Deep learning superresolution (SR) is a promising approach to reduce  MRI scan time without requiring custom sequences or iterative reconstruction.  Previous deep learning SR approaches have generated low-resolution training  images by simple k-space truncation, but this does not properly model in-plane  turbo spin echo (TSE) MRI resolution degradation, which has variable T2  relaxation effects in different k-space regions. To fill this gap, we developed  a T2 -deblurred deep learning SR method for the SR of 3D-TSE images. METHODS: A SR generative adversarial network was trained using physically  realistic resolution degradation (asymmetric T2 weighting of raw high-resolution  k-space data). For comparison, we trained the same network structure on previous  degradation models without TSE physics modeling. We tested all models for both  retrospective and prospective SR with 3 × 3 acceleration factor (in the two  phase-encoding directions) of genetically engineered mouse embryo model TSE-MR  images. RESULTS: The proposed method can produce high-quality 3 × 3 SR images for a  typical 500-slice volume with 6-7 mouse embryos. Because 3 × 3 SR was performed,  the image acquisition time can be reduced from 15 h to 1.7 h. Compared to  previous SR methods without TSE modeling, the proposed method achieved the best  quantitative imaging metrics for both retrospective and prospective evaluations  and achieved the best imaging-quality expert scores for prospective evaluation. CONCLUSION: The proposed T2 -deblurring method improved accuracy and image  quality of deep learning-based SR of TSE MRI. This method has the potential to  accelerate TSE image acquisition by a factor of up to 9.",reconstruction,reconstruction,Bloch,physics_CNN_UNet,phantom,"T2-deblurred superresolution GAN modeling TSE physics, tested on mouse embryo models."
W00025,Joint [Formula: see text] and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,"Schote D, Winter L, Kolbitsch C, Rose G, Speck O, Kofler A.",2024,journal,IEEE Trans Biomed Eng,,,10.1109/tbme.2024.3396223,38696296.0,,,PubMed,"OBJECTIVE: We present a model-based image reconstruction approach based on  unrolled neural networks which corrects for image distortion and noise in  low-field ( B0  ∼  50 mT) MRI. METHODS: Utilising knowledge about the underlying physics, a novel network  architecture (SH-Net) is introduced which involves the estimation of spherical  harmonic coefficients to guarantee a spatially smooth field map estimate. The  SH-Net is integrated in an end-to-end trainable model which jointly estimates  the B0-field map as well as the image. Experiments were conducted on  retrospectively simulated low-field data of human knees. RESULTS: We compare our model to different model-based approaches at distinct  noise levels and various B0-field distributions. Our results show that our  physics-informed neural network approach outperforms the purely model-based  methods by improving the PSNR up to 11.7% and the RMSE up to 86.3%. CONCLUSION: Our end-to-end trained model-based approach outperforms existing  methods in reconstructing image and B0-field maps in the low-field regime. SIGNIFICANCE: low-field MRI is becoming increasingly more popular as it enables  access to MR in challenging situations such as intensive care units or resource  poor areas. Our method allows for fast and accurate image reconstruction in such  low-field imaging with B0-inhomogeneity compensation under a wide range of  various environmental conditions.",reconstruction,reconstruction,Bloch,unrolled,simulation,Joint B0 and image reconstruction in low-field MRI using physics-informed unrolled network (SH-Net).
W00026,Deep learning DCE-MRI parameter estimation: Application in pancreatic cancer,"Ottens T, Barbieri S, Orton MR, Klaassen R, van Laarhoven HWM, Crezee H, Nederveen AJ, Zhen X, Gurney-Champion OJ.",2022,journal,Med Image Anal,,,10.1016/j.media.2022.102512,35709559.0,,,PubMed,"Dynamic contrast-enhanced magnetic resonance imaging (DCE-MRI) is an MRI  technique for quantifying perfusion that can be used in clinical applications  for classification of tumours and other types of diseases. Conventionally, the  non-linear least squares (NLLS) methods is used for tracer-kinetic modelling of  DCE data. However, despite promising results, NLLS suffers from long processing  times (minutes-hours) and noisy parameter maps due to the non-convexity of the  cost function. In this work, we investigated physics-informed deep neural  networks for estimating physiological parameters from DCE-MRI signal-curves.  Three voxel-wise temporal frameworks (FCN, LSTM, GRU) and two spatio-temporal  frameworks (CNN, U-Net) were investigated. The accuracy and precision of  parameter estimation by the temporal frameworks were evaluated in simulations.  All networks showed higher precision than the NLLS. Specifically, the GRU showed  to decrease the random error on ve by a factor of 4.8 with respect to the NLLS  for noise (SD) of 1/20. The accuracy was better for the prediction of the ve  parameter in all networks compared to the NLLS. The GRU and LSTM worked with  arbitrary acquisition lengths. The GRU was selected for in vivo evaluation and  compared to the spatio-temporal frameworks in 28 patients with pancreatic  cancer. All neural network approaches showed less noisy parameter maps than the  NLLS. The GRU had better test-retest repeatability than the NLLS for all three  parameters and was able to detect one additional patient with significant  changes in DCE parameters post chemo-radiotherapy. Although the U-Net and CNN  had even better test-retest characteristics than the GRU, and were able to  detect even more responders, they also showed potential systematic errors in the  parameter maps. Therefore, we advise using our GRU framework for analysing DCE  data.",perfusion,perfusion_quantification,tracer_kinetics,physics_CNN_UNet,mix,Physics-informed RNNs (GRU/LSTM) with Tofts model constraints for DCE-MRI PK parameter estimation in pancreatic cancer patients.
W00027,Physics-Informed Neural Networks (PINNs) for solving the forward and inverse problems of prostate biomechanics,"Ferrón-Vivó M, Nadal E, Navarro-Jiménez JM, Gregori S, Rupérez MJ.",2026,journal,J Mech Behav Biomed Mater,,,10.1016/j.jmbbm.2025.107225,41092576.0,,,PubMed,"This work introduces a novel integration of Physics-Informed Neural Networks  (PINNs) with hyperelastic material modeling, employing the Neo-Hookean model to  estimate the stiffness of soft tissue organs based on realistic anatomical  geometries. Specifically, we propose the modeling of the prostate biomechanics  as an initial application of this framework. By combining machine learning with  principles of continuum mechanics, the methodology leverages finite element  method (FEM) simulations and magnetic resonance imaging (MRI)-derived prostate  models to address forward and inverse biomechanical problems. The PINN framework  demonstrates the ability to provide accurate material property estimations,  requiring limited data while overcoming challenges in data scarcity. This  approach marks a significant advancement in patient-specific precision medicine,  enabling improved diagnostics, personalized treatment planning, and broader  applications in the biomechanical characterization of other soft tissues and  organ systems.",other_MRI,elastography,elasticity,PINN_MLP,mix,PINNs with Neo-Hookean constitutive model estimate prostate tissue stiffness using MRI-derived geometries and FEA validation.
W00028,PINNing cerebral blood flow: analysis of perfusion MRI in infants using physics-informed neural networks,"Galazis C, Chiu CE, Arichi T, Bharath AA, Varela M.",2025,journal,Front Netw Physiol,,,10.3389/fnetp.2025.1488349,40028512.0,,,PubMed,"Arterial spin labelling (ASL) magnetic resonance imaging (MRI) enables cerebral  perfusion measurement, which is crucial in detecting and managing neurological  issues in infants born prematurely or after perinatal complications. However,  cerebral blood flow (CBF) estimation in infants using ASL remains challenging  due to the complex interplay of network physiology, involving dynamic  interactions between cardiac output and cerebral perfusion, as well as issues  with parameter uncertainty and data noise. We propose a new spatial  uncertainty-based physics-informed neural network (PINN), SUPINN, to estimate  CBF and other parameters from infant ASL data. SUPINN employs a multi-branch  architecture to concurrently estimate regional and global model parameters  across multiple voxels. It computes regional spatial uncertainties to weigh the  signal. SUPINN can reliably estimate CBF (relative error - 0.3 ± 71.7 ), bolus  arrival time (AT) (30.5 ± 257.8) , and blood longitudinal relaxation time (T1b)  (-4.4 ± 28.9), surpassing parameter estimates performed using least squares or  standard PINNs. Furthermore, SUPINN produces physiologically plausible spatially  smooth CBF and AT maps. Our study demonstrates the successful modification of  PINNs for accurate multi-parameter perfusion estimation from noisy and limited  ASL data in infants. Frameworks like SUPINN have the potential to advance our  understanding of the complex cardio-brain network physiology, aiding in the  detection and management of diseases. Source code is provided at:  https://github.com/cgalaz01/supinn.",perfusion,perfusion_quantification,tracer_kinetics,PINN_MLP,in_vivo_patients,SUPINN estimates cerebral blood flow in infants from ASL using spatial uncertainty.
W00029,Anatomy-derived 3D Aortic Hemodynamics Using Fluid Physics-informed Deep Learning,"Berhane H, Maroun A, Dushfunian D, Baraboo J, Martinez G, Jacobson T, Bagci U, Allen BD, Markl M.",2025,journal,Radiology,,,10.1148/radiol.240714,40326877.0,,,PubMed,"Background Four-dimensional (4D) flow MRI provides assessment of thoracic aorta  hemodynamic measures that are increasingly recognized as important biomarkers  for risk assessment. However, long acquisition times and cumbersome data  analysis limit widespread availability. Purpose To evaluate the feasibility and  accuracy of a generative artificial intelligence (AI) approach (fluid  physics-informed cycle generative adversarial network [FPI-CycleGAN]) in  quantifying aorta hemodynamics directly from anatomic input as an alternative to  4D flow MRI. Materials and Methods Patients were retrospectively identified from  a dataset of clinical cardiothoracic MRI examinations performed between November  2011 and July 2020. All patients underwent aortic 4D flow MRI, which served as a  reference standard for training and testing of FPI-CycleGANs. A  three-dimensional (3D) segmentation of the aortic geometry was used as the only  input to predict systolic aortic hemodynamics, with separate networks for  bicuspid aortic valve (BAV) (994 in the training set and 248 in the test set)  and tricuspid aortic valve (TAV) (419 in the training set and 104 in the test  set). Voxel-by-voxel and regional analyses were used to quantify and compare (AI  vs the reference standard, 4D flow) systolic velocity vector fields, peak  velocity, wall shear stress (WSS), and classification of aortic valve stenosis.  Results In total, 1765 patients (median age, 53 years [IQR, 41-63 years]; 1242  patients had BAV and 523 had TAV) were included. Mean AI computation time was  0.15 second ± 0.11 (SD), and total training was 1500 and 3600 minutes for the  TAV and BAV networks, respectively. The FPI-CycleGAN predicted systolic 3D  velocity vector fields accurately, with low bias (<0.01 m/sec) and excellent  limits of agreements (±0.06-0.08 m/sec). For peak velocities and WSS, there was  strong agreement between FPI-CycleGAN and 4D flow (r2 = 0.930-0.957 [P < .001],  with relative differences of 6.2%-9.8%). AI accurately classified aortic valve  stenosis severity in 85.8% of patients (302 of 352) (κ = 0.80 [95% CI: 0.71,  0.89]). The FPI-CycleGAN was robust to one- and two-voxel dilation and erosion  (bias, -0.05 to 0.1 m/sec) and ±5° rotation (bias, -0.02 to 0.03 m/sec) of the  input data. The application of the trained FPI-CycleGAN in an external test set  with contrast-enhanced MR angiography (n = 60 patients) as AI input data  demonstrated strong to excellent performance for peak velocities and WSS (r2 =  0.944-0.965 [P < .001], with relative differences of 6.2%-9.2%). Conclusion  Aorta 3D hemodynamics can be derived from anatomic input in less than 1 second  using an FPI-CycleGAN and demonstrate strong agreement with in vivo 4D flow MRI  systolic hemodynamics. © RSNA, 2025 Supplemental material is available for this  article.",4D_flow,flow_estimation,Navier_Stokes,physics_CNN_UNet,in_vivo_patients,Fluid physics-informed CycleGAN derives 3D aortic hemodynamics from anatomical MRI.
